NomeDisciplina,samples,mae,rmse,mean_signed_error,risk_accuracy,actual_risk_rate
Matemática 4 e 5,81,1.9293501786887912,2.4476714456389024,1.774109039645785,0.7654320987654321,0.345679012345679
Biologia 2,260,1.6079828501320346,1.9492656676432842,0.28658369249467447,0.6384615384615384,0.35384615384615387
Matemática 3,81,1.3674513940448758,1.6189308145337522,0.14024203803419516,0.7283950617283951,0.345679012345679
História 2,81,1.3583082696965638,1.6551107447271585,-1.1687998700764113,0.6790123456790124,0.0
Química 3,81,1.356007707236699,1.7661664752319473,1.1211683599478752,0.691358024691358,0.4567901234567901
Física 2,260,1.267345418170192,1.574057275321895,-0.16408850786645945,0.7269230769230769,0.3076923076923077
Matemática Fundamental,179,1.189634885206091,1.5009979038305972,-1.0226610453833924,0.7988826815642458,0.0223463687150838
Física 1,260,1.1713659804513377,1.4502199162383484,0.2793302381760999,0.7538461538461538,0.19615384615384615
Matemática 1 e 2,81,1.0441953627625566,1.3188477223003463,-0.3721330658811367,0.9135802469135802,0.024691358024691357
Biologia 1,260,1.029695038811276,1.3340286298395827,-0.08573492075866923,0.8038461538461539,0.2
Projeto de Vida,179,1.0240617466613013,1.3524396255200806,-0.002235882927053409,0.9664804469273743,0.0335195530726257
Interpretação Textual,260,1.0198980661145403,1.2381448355173572,-0.4824711935403113,0.4423076923076923,0.3769230769230769
Química,368,0.9876858238471296,1.2974861593391018,0.38697143759634556,0.7907608695652174,0.23097826086956522
Gramática,621,0.9074377855800323,1.119431761335606,-0.5441632839924497,0.677938808373591,0.2109500805152979
Física,368,0.8964453026921564,1.1742172952569812,0.2795276019958145,0.8206521739130435,0.18478260869565216
História 1,81,0.8937205790569238,1.2025036150261723,0.07841148633216946,0.8395061728395061,0.13580246913580246
Redação,442,0.8838832948804233,1.1582768115269022,-0.4897141047492676,0.9027149321266968,0.042986425339366516
Matemática 2,540,0.8585464816039502,1.2087914580541803,0.3103907517356206,0.9203703703703704,0.7277777777777777
Biologia,368,0.8416426194022288,1.0864279093342057,0.23734874182460075,0.8233695652173914,0.11684782608695653
Geografia,622,0.8302736658642267,1.145670544109843,0.4395032365971494,0.9726688102893891,0.022508038585209004
L.E.M Espanhol,163,0.8170047949824025,1.0159931152639068,-0.3140058132708019,0.8404907975460123,0.06134969325153374
Química 1,260,0.7975797606489149,1.0195199593252326,0.16087769634631643,0.8692307692307693,0.8307692307692308
Matemática 1,540,0.7905230839989636,1.0632801983116837,-0.11974073796908416,0.7333333333333333,0.44074074074074077
Literatura,619,0.7572139199749759,0.9991194088443471,-0.2366862918177273,0.9176090468497576,0.4588045234248788
L.E.M Inglês,622,0.7292934166069812,0.972536038086506,0.0029015108228017446,0.9147909967845659,0.06430868167202572
História,622,0.7037322357335667,0.9594116496914814,-0.07816269970730244,0.9437299035369775,0.027331189710610933
Matemática,622,0.6863624877450877,0.9341331797541396,-0.06720981348034147,0.9244372990353698,0.03536977491961415
Arte,622,0.6845395034051773,0.9266462674559329,-0.3229679319653486,0.9919614147909968,0.00482315112540193
Ciências da Natureza,362,0.6785284389833184,0.8993127596971691,-0.1686950150556506,0.9585635359116023,0.016574585635359115
Filosofia,622,0.6760612875243738,0.9226393268986077,-0.15009581760659496,0.9646302250803859,0.00964630225080386
Geografia 1,260,0.6612595806341708,0.8977068795669808,0.34336856758399564,0.7,0.6653846153846154
Sociologia,260,0.6432303509805416,0.8412143540361787,-0.025224362178491912,0.9846153846153847,0.015384615384615385
Língua Portuguesa,622,0.640917984898546,0.8115296231968699,-0.38747539329803793,0.9485530546623794,0.028938906752411574
Geografia 2,260,0.6195964630766148,0.7987502527491359,0.5476092506410862,1.0,1.0
Química 2,260,0.6154887028650998,0.7783841838955131,-0.0990525807595244,0.9538461538461539,0.9538461538461539
Produção Textual,179,0.45598813966716895,0.5982656342779914,-0.04197663015110516,0.9664804469273743,0.00558659217877095
Educação Física,622,0.42595359465206534,0.7762060532588321,0.12522086761770576,0.9903536977491961,0.00964630225080386
Noções de Informática,253,0.15764431120418554,0.2104131926825097,0.13807068473695758,1.0,0.0
