IDAluno,NomeAluno,NomePeriodo,NomeSerie,disciplinas_monitoradas,disciplinas_distintas,casos_alto_risco,casos_risco_moderado,pontuacao_risco_maxima,pontuacao_risco_media,media_nota_atual,media_nota_prevista,pior_nota_prevista,faltas_acumuladas_maximas,pagamentos_pendentes_maximos,alerta_frequencia,alerta_financeiro,indice_prioridade,nivel_prioridade_executiva,motivos_prioridade,acao_executiva_sugerida
301476CC-0A78-4CE4-BFB1-3DD565CEFC13,Aluno 01560,2025,3ª Série,62,31,32,11,10,5.580645161290323,5.756451612903225,5.821555739360472,2.0355835698948437,9.0,5.0,1,1,124,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa de alerta; pendencias financeiras recorrentes; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
47A141DB-1523-4720-B3DD-4498770E2FA1,Aluno 01742,2025,3ª Série,62,31,31,14,8,5.258064516129032,5.408064516129032,5.480454744981857,1.8257124902240969,4.0,0.0,0,0,117,critica,volume muito alto de disciplinas em alto risco; gravidade media elevada no conjunto das disciplinas; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
5CFCC9CF-1CFC-4EFF-9302-BD8980B3F970,Aluno 04929,2025,1ª Série,56,28,29,10,11,5.714285714285714,5.278571428571429,5.638137421417879,2.191404341435108,18.0,0.0,1,0,113,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
B40E45A5-70EE-4D61-808E-7E10562C9DF9,Aluno 03272,2025,3ª Série,62,31,26,15,10,4.903225806451613,5.367741935483871,5.742681999936446,2.036006005189885,0.0,0.0,0,0,105,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
28B7C311-8F5B-4F2E-B301-646975ECA075,Aluno 02579,2025,1ª Série,56,28,26,15,9,5.232142857142857,5.083928571428571,5.405756257306423,1.8158743958741823,7.0,0.0,0,0,104,critica,volume muito alto de disciplinas em alto risco; gravidade media elevada no conjunto das disciplinas; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
1441920B-F4A8-49E7-8A85-26A4251A205D,Aluno 00968,2025,1ª Série,56,28,25,12,9,4.803571428571429,5.142857142857143,5.817836371487071,2.17557815133659,6.0,0.0,0,0,98,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
7183FFA9-1DA5-4F82-88C0-C303C6161C72,Aluno 05068,2025,3ª Série,62,31,25,9,8,4.048387096774194,5.6,5.9189336666722,2.0183770884028824,12.0,0.0,1,0,97,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
9273B3AD-8E75-444C-A2E6-234906CF3E80,Aluno 00876,2025,1ª Série,56,28,23,14,10,4.875,5.696428571428571,6.016177606908852,2.0473934774042957,16.0,0.0,1,0,96,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
4C43D59A-BF2D-4A08-A6CC-A98162C3BA11,Aluno 04406,2025,1ª Série,56,28,23,13,9,4.910714285714286,5.317857142857143,5.707648589202033,2.0863258912031473,12.0,0.0,1,0,96,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
6DF216C0-48DF-4063-874E-9242DFCE0802,Aluno 03798,2025,3ª Série,62,31,23,14,8,4.467741935483871,5.611290322580645,5.783000951451158,1.997652303739812,10.0,0.0,1,0,96,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
58451C45-1BDF-4A06-933E-938B75B31B7C,Aluno 03832,2025,3ª Série,62,31,22,13,10,4.193548387096774,5.512903225806451,5.9783757002590585,1.9568733708250536,22.0,0.0,1,0,94,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
2CB2F52F-450B-4DFD-BAE6-423A73ABF4B8,Aluno 01677,2025,1ª Série,56,28,23,10,9,4.571428571428571,5.1375,5.930197153785755,2.091300521936047,15.0,0.0,1,0,93,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
FADE82B6-3B9B-41D3-81B3-B370EAC2814D,Aluno 04665,2025,1ª Série,56,28,23,13,9,4.535714285714286,5.373214285714285,5.93835105738174,2.098477293202251,0.0,0.0,0,0,93,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
D622D65C-A584-4202-87FE-7C39F54C2540,Aluno 03226,2025,2ª Série,58,29,21,19,9,4.810344827586207,5.124137931034483,5.646807879250007,1.9256336921834896,1.0,0.0,0,0,93,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
43E6FC61-E12A-4534-8500-0979CDB3FBA6,Aluno 00240,2025,2ª Série,58,29,22,14,10,4.620689655172414,5.306896551724138,5.8069645269606545,2.1847899890909845,0.0,0.0,0,0,92,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
D3AD43E7-009E-482E-8D47-3A60DF51C990,Aluno 01472,2025,2ª Série,58,29,20,15,11,4.620689655172414,5.8982758620689655,5.883928427452065,2.032086093966263,17.0,0.0,1,0,91,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
6428C77F-4713-41B2-B54F-7DF3F86D54FC,Aluno 03270,2025,2ª Série,58,29,23,10,9,4.431034482758621,5.886206896551724,5.952528564456402,2.1071252452096227,4.0,0.0,0,0,90,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
59E84E47-3571-4CBC-818A-3F1436404AB0,Aluno 01590,2025,3ª Série,62,31,23,9,9,4.161290322580645,5.993548387096775,6.215108906441615,2.220918779439968,8.0,0.0,1,0,89,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa de alerta,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
4958F878-6523-4323-BB77-815C21D30EC0,Aluno 03354,2025,3ª Série,62,31,22,10,9,3.903225806451613,5.645161290322581,5.976412848430045,2.0496586530191787,5.0,0.0,0,0,87,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
B4A48CE3-0BB2-4201-A686-69559DEB7002,Aluno 02714,2025,3ª Série,62,31,20,14,9,4.112903225806452,5.674193548387097,6.019221538288266,2.017635685596846,12.0,0.0,1,0,86,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
AA28389F-801F-4D48-9088-29D6CDEE23F7,Aluno 01046,2025,1ª Série,56,28,21,9,10,4.285714285714286,5.932142857142857,6.206769943605685,2.2150633119750474,20.0,0.0,1,0,85,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
0A5DD414-5973-41EF-A63C-8ACC99F5C3AA,Aluno 03607,2025,2ª Série,58,29,19,15,10,4.258620689655173,5.662068965517241,6.131513883746155,2.095593015904893,16.0,0.0,1,0,85,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
A701740D-2356-4B64-B813-51962204AA93,Aluno 02081,2025,3ª Série,62,31,21,10,9,3.9193548387096775,5.775806451612904,6.093728067674056,2.154261374440291,2.0,0.0,0,0,82,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
762617C2-D2FA-469B-9155-C870742197F9,Aluno 05209,2025,1ª Série,56,28,20,11,9,4.142857142857143,5.403571428571429,6.031136409199597,2.291602320971466,8.0,0.0,1,0,82,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa de alerta,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
5B9EE84A-ADDD-4D7E-8539-26CF4158B0F5,Aluno 00975,2025,1ª Série,56,28,19,10,11,4.142857142857143,5.946428571428571,6.392157525371599,2.3459020852611947,15.0,0.0,1,0,81,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
4DEEB264-A1AD-41AD-A202-3948DBC44E68,Aluno 01445,2025,2ª Série,58,29,17,17,10,4.327586206896552,5.55,6.019686616014372,2.1867236795289613,14.0,0.0,1,0,81,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
8D207A64-29C2-499D-818F-51473EE71C1B,Aluno 02071,2025,3ª Série,62,31,20,8,9,3.774193548387097,6.129032258064516,6.067609178874108,2.3501443471312276,10.0,0.0,1,0,80,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
A55AE998-6CD1-4D6D-9F72-F778D088558A,Aluno 06423,2025,3ª Série,62,31,19,7,11,3.7419354838709675,6.514516129032257,6.775989174958056,2.337812143604821,16.0,2.0,1,1,80,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica; sinal financeiro que merece acompanhamento,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
4E05800E-2720-4673-B98B-2AC545820A58,Aluno 01075,2025,2ª Série,58,29,19,11,8,3.8793103448275863,5.844827586206897,6.112834296001951,2.291323267490414,10.0,0.0,1,0,79,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
16B5A766-E991-4643-AC14-E7842E73409C,Aluno 05989,2025,1ª Série,56,28,18,13,9,4.107142857142857,5.9125000000000005,6.209691919182467,2.4875951241431467,15.0,0.0,1,0,79,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
CEE2C826-F3B6-40EC-B738-E80069DEEEDA,Aluno 06000,2025,2ª Série,58,29,18,12,9,4.0344827586206895,6.01551724137931,6.520663179351414,2.009827384939179,23.0,0.0,1,0,78,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
B9168C65-558B-4F1C-B755-AA432F7BD737,Aluno 04418,2025,1ª Série,56,28,17,14,8,4.214285714285714,5.455357142857143,5.991319265514582,2.1919815785063834,11.0,0.0,1,0,78,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
AE6060A1-D1E4-4128-B474-00887E0F5AF2,Aluno 00012,2025,3ª Série,62,31,18,12,9,3.838709677419355,6.103225806451612,6.045131077033159,2.143606393286291,8.0,0.0,1,0,77,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa de alerta,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
EB463DFB-8BA7-4C82-AA34-F1E6C1317D79,Aluno 06264,2025,2ª Série,58,29,18,9,10,3.8448275862068964,6.243103448275862,6.530698046760257,2.2626655378649363,23.0,0.0,1,0,76,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
FA261606-DD70-42F7-BF54-50C41041F99D,Aluno 02055,2025,3ª Série,62,31,19,6,9,3.435483870967742,6.183870967741935,6.422412181672331,2.022075303773023,10.0,0.0,1,0,75,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
324C58CA-4B5E-4137-9FE3-AEAEE497F60B,Aluno 04529,2025,1ª Série,56,28,18,8,10,3.8214285714285716,5.894642857142857,6.318847196923853,2.691695813445757,20.0,0.0,1,0,75,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
1ED93192-BAB5-478D-B272-D1D39B6B93C5,Aluno 05424,2025,1ª Série,56,28,18,12,9,3.732142857142857,6.126785714285715,6.513261525010624,2.750908959520813,6.0,0.0,0,0,75,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
F8F381E9-80E2-4DF6-A8F4-E715C4C2A38D,Aluno 05979,2025,2ª Série,58,29,19,5,9,3.7586206896551726,6.236206896551724,6.470805292648299,2.4303588379842735,18.0,0.0,1,0,74,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
ADCD91ED-3961-44DD-A6D7-BCBECD24B206,Aluno 04907,2025,3ª Série,62,31,18,12,8,3.6451612903225805,5.962903225806452,6.110611877433332,2.0121131878819063,7.0,0.0,0,0,74,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
A9829864-01B2-4934-9A44-C982D7E10178,Aluno 05235,2025,2ª Série,58,29,18,8,8,3.5689655172413794,5.853448275862069,6.195888105494298,2.086344487028725,12.0,0.0,1,0,73,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
FFBEB481-7860-4BEE-81EC-ED9E13BA4B4D,Aluno 06152,2025,2ª Série,58,29,17,8,10,3.3620689655172415,6.6000000000000005,6.797266187524606,2.5800111915576833,23.0,0.0,1,0,72,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
4C6F55B9-7233-4AC5-B042-F275BCC7DEDC,Aluno 06281,2025,2ª Série,58,29,17,10,9,3.689655172413793,5.644827586206896,5.958400104799329,2.095573871480706,2.0,0.0,0,0,72,critica,volume muito alto de disciplinas em alto risco; media prevista abaixo da linha de seguranca,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
F4A0C8EA-0F9E-44EB-93CE-262C47FDF30A,Aluno 00958,2025,2ª Série,58,29,17,9,9,3.4655172413793105,6.032758620689655,6.452544928815053,2.3834457277173446,9.0,0.0,1,0,71,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa de alerta,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
7403383F-F1A6-45D6-8E0C-0EAF7D0317C6,Aluno 00371,2025,3ª Série,62,31,17,11,9,3.5483870967741935,5.901612903225806,6.087190061886853,2.1543762709850687,4.0,0.0,0,0,71,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
EDD88A93-8952-4F90-BB5A-40AFD6801934,Aluno 01634,2025,3ª Série,62,31,18,8,8,3.338709677419355,6.367741935483871,6.499621159083345,2.2345320157073503,5.0,0.0,0,0,70,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
C0A51B64-5806-4446-9ABB-1914A71CFB5E,Aluno 00614,2025,1ª Série,56,28,16,14,8,3.7857142857142856,5.807142857142857,6.270332902102027,2.464997462543281,2.0,0.0,0,0,70,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
1E3EE721-20ED-46B9-BBBE-8394761AB421,Aluno 03403,2025,2ª Série,58,29,17,10,8,3.5344827586206895,6.003448275862069,6.31692842484863,2.1006152082149185,1.0,0.0,0,0,69,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
22EF21DC-9A8F-4F2E-A5EA-9F2E75963991,Aluno 04132,2025,3ª Série,62,31,16,9,9,3.403225806451613,6.4,6.34839296505991,2.260772238252432,19.0,0.0,1,0,69,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
69DEE00C-47E7-4B1E-BE6E-5BB571EC1190,Aluno 02327,2025,1ª Série,56,28,16,9,9,3.392857142857143,6.076785714285714,6.3245791719347535,2.3203218877945657,10.0,0.0,1,0,69,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
ABF59E94-C030-43CB-B7D7-CB9462EA307D,Aluno 05278,2025,1ª Série,56,28,16,7,10,3.7142857142857144,6.071428571428571,6.503471538153315,2.533602170380381,25.0,0.0,1,0,68,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
DD03E0B6-A77E-485A-B6C9-218E68BC2D9A,Aluno 00832,2025,1ª Série,56,28,16,8,9,3.4464285714285716,6.035714285714286,6.420966855540129,2.4218776993216764,11.0,0.0,1,0,68,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
C2CB0215-B813-4EF7-B01C-001E54D87EB6,Aluno 00002,2025,2ª Série,58,29,16,8,9,3.413793103448276,6.067241379310344,6.2931619816452375,2.161775870978549,8.0,0.0,1,0,67,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa de alerta,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
5CB41626-8E1D-402A-8346-27CCF290E734,Aluno 00992,2025,2ª Série,58,29,15,9,10,3.793103448275862,6.1689655172413795,6.527153923413535,2.240753818925466,26.0,0.0,1,0,67,critica,volume muito alto de disciplinas em alto risco; ha disciplinas com gravidade maxima muito elevada; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
169BF719-C669-490C-BE80-639DBA382AB6,Aluno 02554,2025,3ª Série,62,31,15,11,8,3.5,6.046774193548386,6.106363380937246,2.1820607975085484,10.0,0.0,1,0,67,critica,volume muito alto de disciplinas em alto risco; faltas acumuladas em faixa critica,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
9652616F-67AF-4878-9572-ABFE498EFD5D,Aluno 04464,2025,1ª Série,56,28,16,9,9,3.267857142857143,6.071428571428571,6.473005369069514,2.368314160374453,1.0,0.0,0,0,66,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
88372A90-B23C-4F74-BD40-CB4D917F26A2,Aluno 05274,2025,2ª Série,58,29,16,10,8,3.396551724137931,6.131034482758621,6.258620532325321,2.2378639781557563,0.0,0.0,0,0,66,critica,volume muito alto de disciplinas em alto risco,"Acionar coordenacao imediatamente, alinhar professores das disciplinas criticas e planejar contato com a familia nesta etapa."
